ID,Origin,Dest,TarDep,TarArr,DepMaxEarly,DepMaxLate,ArrMaxEarly,ArrMaxLate,Demand
0,0,3,0,100,0,0,0,0,10
1,0,3,3,100,0,0,0,0,10
2,0,3,6,100,0,0,0,0,10
3,0,3,9,100,0,0,0,0,10
4,0,3,12,100,0,0,0,0,10
5,0,3,15,100,0,0,0,0,10
6,0,3,18,100,0,0,0,0,10
7,0,3,21,100,0,0,0,0,10
8,0,3,24,100,0,0,0,0,10
9,0,3,27,100,0,0,0,0,10
10,0,3,30,100,0,0,0,0,10
11,0,3,33,100,0,0,0,0,10
12,0,3,36,100,0,0,0,0,10
13,0,3,39,100,0,0,0,0,10
14,0,3,42,100,0,0,0,0,10
15,0,3,45,100,0,0,0,0,10
16,0,3,48,100,0,0,0,0,10
17,0,3,51,100,0,0,0,0,10
18,0,3,54,100,0,0,0,0,10
19,0,3,57,100,0,0,0,0,10
